ID,Year,Activity,Type,Unit,kg CO2e,kg CO2,kg CH4,kg N2O
1,2020,Motorbike,Small,km,0.08277,0.08086,0.00161,0.0003
2,2020,Motorbike,Medium,km,0.10086,0.09816,0.0021,0.0006
3,2020,Motorbike,Large,km,0.13237,0.13058,0.00119,0.0006
4,2020,Motorbike,Average,km,0.11337,0.11115,0.00163,0.00059
